area_swept_ha_der,date_yyyymmdd,depth_hi_prec_m,invertebrate_weight_kg,latitude_hi_prec_dd,longitude_hi_prec_dd,mean_seafloor_dep_position_type,midtow_position_type,nonspecific_organics_weight_kg,performance,program,project,sample_duration_hr_der,sampling_end_hhmmss,sampling_start_hhmmss,station_code,tow_end_timestamp,tow_start_timestamp,trawl_id,vertebrate_weight_kg,vessel,vessel_id,year,year_stn_invalid
NA,20120706,331.9186,0.96,35.19402167,-121.0204933,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,15897,2012-07-06T08:47:57Z,2012-07-06T08:03:05Z,2.01203E+11,15.39,Ms. Julie,10,2012,NA
NA,20120706,95.7881,23.9,34.79294917,-120.787285,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,16298,2012-07-06T09:48:52Z,2012-07-06T09:18:27Z,2.01203E+11,44.72,Noahs Ark,17,2012,NA
NA,20031018,118.872,NA,33.8235555,-119.9436025,Station-defined Midpoint,Station-defined Midpoint,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,17902,NA,2003-10-18T12:13:54Z,2.00303E+11,NA,Excalibur,8,2003,NA
NA,20030716,250.5456,NA,42.98859167,-124.8692667,Gross Operation Depth,Vessel Abort,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,10430,2003-07-16T13:17:11Z,2003-07-16T12:54:13Z,2.00303E+11,NA,Captain Jack,6,2003,NA
1.837649506,20030729,79.9095,146.15,38.07702083,-123.1244917,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.348056,171844,165751,13745,2003-07-29T17:25:18Z,2003-07-29T16:50:46Z,2.00303E+11,557.302,Captain Jack,6,2003,NA
NA,20030925,126.1872,NA,42.4206,-124.7107875,Gross Operation Depth,Vessel Track Midpoint,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.0575,64830,64503,10726,2003-09-25T06:51:00Z,2003-09-25T06:35:58Z,2.00303E+11,NA,Excalibur,8,2003,NA
3.047135245,20030927,948.4094,57.172,41.48590417,-124.6703917,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.523333,171026,163902,11398,2003-09-27T17:48:27Z,2003-09-27T16:09:01Z,2.00303E+11,243.465,Excalibur,8,2003,NA
1.65100355,20030730,63.6213,47.2,37.377025,-122.5513417,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.291667,181512,175742,14191,2003-07-30T18:17:30Z,2003-07-30T17:50:24Z,2.00303E+11,120.48,Ms. Julie,10,2003,NA
NA,20141005,77.3392,2.45,33.85091667,-120.0314292,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,17825,2014-10-05T14:59:02Z,2014-10-05T14:37:42Z,2.01403E+11,17.02,Ms. Julie,10,2014,NA
1.821803051,20040906,131.7826,114.59,43.67460833,-124.460175,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.275,93341,91711,9933,2004-09-06T09:38:13Z,2004-09-06T09:03:31Z,2.00403E+11,107.55,Excalibur,8,2004,NA
